0;1
COMUNICAÇÃO PARLAMENTAR;"O SR. ALEXIS FONTEYNE (NOVO - SP. Sem revisão do orador.) - Sra. Presidente, Sras. e Srs. Deputados, inicialmente gostaria de me apresentar. Sou Deputado da cidade de Campinas, Estado de São Paulo, e vim a esta Casa com uma pauta muito simples. Há 20 anos, eu comecei uma pequena empresa na cidade de Sumaré, perto de Campinas, e durante esses 20 anos fui vendo todas as dificuldades que há para empreender no Brasil. Ficou muito claro para mim que o Estado é uma grande máquina de exclusão social quando ele dificulta demais para todos aqueles empreendedores que tentam se sustentar por conta própria, mas têm muita dificuldade.
O sistema tributário brasileiro é uma máquina de exclusão, porque ele não é de domínio de praticamente nenhum brasileiro. Apenas as grandes corporações têm capacidade de ter departamentos que conseguem entender o que é PIS/COFINS, ICMS, essas legislações sobre o consumo brasileiro que simplesmente impedem as pessoas de empreender de forma honesta e correta.
A burocracia brasileira é outro mal, mal que não agrega nenhum valor à sociedade, não agrega nenhum valor às empresas, que só gera custos a todos nós; que cria passivos dentro das empresas, que cria um contencioso entre o Fisco e os cidadãos ou os próprios empresários.
É muito claro que temos 27 milhões de desempregados e subempregados, porque simplesmente é o Estado que mata o ambiente para podermos empreender e viver por conta própria.
Percebendo isso, eu criei um mote na minha campanha: a inclusão social sustentável, aquela inclusão baseada nas pessoas que se sustentam por conta própria, que não precisam de Estado para se sustentar. Não é aquela inclusão que tira de uns para dar para outros, mas não resolve o problema na causa.
Nós não queremos combater as consequências, nós queremos combater a causa da pobreza. A desigualdade não é tão importante, na nossa visão, o importante é combater a pobreza, é importante que essas pessoas possam viver por conta própria. Por isso, a inclusão social sustentável é baseada basicamente em dois elementos figurativos: ensinar a pescar e ter ambiente de pescaria.
Ensinar a pescar é ter uma educação fundamental de qualidade, uma educação profissionalizante, usar o esporte, o talento do brasileiro, como forma de inclusão, as artes, a cultura sem nenhuma doutrinação, aquela bela arte que vemos em muitos lugares e museus pelo mundo. Do outro lado, para poder sustentar essas pessoas que estão capacitadas, para que elas não vão empreender em outro país, para que elas não saiam do Brasil, há o ambiente de pescaria. Por que estamos falando do ambiente de pescaria? Estamos falando de um sistema tributário acessível, simples, acessível a qualquer um, que não complique a vida e que não custe ao brasileiro; uma desburocratização com a identidade digital única, com a integração de todos os sistemas do Governo, de forma que as pessoas não comemorem... Agora foi criado o Poupa Tempo, que só é bom para quem perde tempo. Só perdemos tempo, porque há muita burocracia no Brasil.
Dessa forma, conseguindo somar esses dois elementos, nós vamos conseguir incluir todo brasileiro na sua plena cidadania.
Solicito que esta fala seja incluída no programa A Voz do Brasil.
Muito obrigado."
COMO LÍDER;"O SR. ALEXIS FONTEYNE (NOVO - SP. Como Líder. Sem revisão do orador.) - Prezadas Deputadas e prezados Deputados, o Estado burocrático é gerador de desemprego. 
Eu gostaria de falar hoje sobre o eSocial, que está apresentando um grande problema para as empresas, exatamente no dia de hoje. Não está funcionando. Essa ideia aparentemente boa virou uma via-crúcis para os empregadores, seja na iniciativa privada, seja no ambiente doméstico. 
Esse eSocial, desde que foi implantado, há 3 anos, gerou um aumento de custos para as empresas e de desemprego para os empregados domésticos. Estamos vendo o absurdo custo que isso gera para esses empregadores. Hoje não se consegue mais ter um empregado doméstico sem ter um contador para poder cumprir com todas as obrigações desse eSocial. Simplesmente o eSocial é um pardal dentro do RH das empresas, e vive falhando, vive dando problema. Hoje as empresas de contabilidade estão desesperadas por não conseguirem entregar os informes, porque o sistema não está funcionando adequadamente.
A edição do jornal Estadão de 12 de agosto de 2018 trouxe uma matéria com o título Três anos depois de lei, 70% das domésticas estão na informalidade, além de outra intitulada 330 mil domésticas perdem o registro, ou seja, ficam desempregadas.
Isso acontece porque apenas aquelas pessoas que têm dinheiro podem cumprir plenamente o que determina o eSocial. Mas sabemos que a cadeia no Brasil não funciona dessa forma. As pessoas que trabalham em grandes empresas e as pessoas que têm empregados não conseguem contratá-los de forma legal para cuidar dos seus filhos. Preocupa-me muito o passivo que está sendo gerado nessas relações pessoais. Os tribunais do trabalho vão ficar cheios de ações trabalhistas, entre miseráveis e pobres e entre pobres e classe média.
Assusta-me a criação de leis. Nestes últimos 3 dias mais de mil leis e determinações foram protocoladas. Temos que eliminar leis, e não criar leis. A minha proposta - inclusive, esta talvez seja a única lei que vou propor neste plenário - é que, para cada lei criada, devem ser revogadas duas leis, de modo a termos muito menos leis. Vamos lembrar que, a cada lei criada, perdemos um pouco da nossa liberdade.
Muito obrigado."
COMUNICAÇÃO PARLAMENTAR;"O SR. ALEXIS FONTEYNE (NOVO - SP. Sem revisão do orador.) - Prezado Presidente, prezados Deputados e Deputadas, excelentíssimos pagadores de impostos, vim aqui para dizer que, terça-feira passada, nós tivemos uma matéria amplamente discutida nesta Casa, mas eu realmente não entendi a posição da esquerda, que lutou tanto para evitar o que eles chamavam, no caso, de ""transformar em terrorismo os movimentos sociais"".
Eu gostaria de lembrá-los que essa resolução, tão importante para o GAFI, veio do Conselho de Segurança da ONU, composto por cinco países, que são membros permanentes, e por mais tantos outros países como membros transitórios, que vão passando de ano em ano.
Desses cinco países que fazem parte do conselho, três deles, a Rússia, a China e a própria França, têm uma bela veia de esquerda.
A grande discussão era se alguns desses movimentos ou os grandes movimentos de terrorismo do mundo deveriam ser incluídos nessa lista. 
Senhores, se algum movimento brasileiro social fosse incluído nessa lista que foi aprovada pela China, pela Rússia, pela Franca, pelos Estados Unidos e pela Inglaterra, esse movimento tem que ser, de fato, considerado como terrorista.
Eu acho que há um exagero muito grande nessas discussões. E eu gostaria que nós tivéssemos discussões muito mais ricas nesta Casa. Como Deputado de primeiro mandato, fico um pouco decepcionado com essa oposição, que é quase irresponsável, que fica alargando as discussões e não acaba chegando a conclusões definitivas, tentando fazer um desgaste desnecessário.
 O País precisa avançar. Nós temos urgentemente que aprovar reformas importantíssimas, senão nós vamos enterrar este País ou levá-lo a condições como as que aconteceram com alguns países da Europa, como Grécia, Portugal e até Bélgica, que passaram por grandes crises em virtude dos excessivos gastos públicos.
Portanto, eu peço apenas que nós tenhamos uma oposição honesta e que ela seja muito conclusiva.
Muito obrigado."
PELA ORDEM;"O SR. ALEXIS FONTEYNE (NOVO - SP. Pela ordem. Sem revisão do orador.) - Sr. Presidente, este projeto sobre o cadastro positivo vem, digamos assim, de uma forma muito positiva, porque propicia às pessoas que não têm crédito em bancos que comecem a ter crédito. O microcrédito brasileiro é superimportante. Eu não consigo entender como a Oposição pode ser contra algo que vai dar crédito para aqueles menos favorecidos no País.
Portanto, eu acho extremamente positivo este projeto. Fico muito feliz que esteja na pauta e seja votado hoje."
PELA ORDEM;"O SR. ALEXIS FONTEYNE (NOVO - SP. Pela ordem. Sem revisão do orador.) - Presidente, o cadastro positivo é acesso do pobre ao crédito. O cadastro positivo é a possibilidade de o crédito chegar às camadas mais baixas da sociedade. O cadastro positivo viabiliza o microcrédito, o crédito pessoal e o crédito individual. Pessoas vão poder dar crédito a outras pessoas, e o crédito não ficará limitado apenas aos grandes bancos.
Quem é que dá crédito para pobre neste País? Os bancos não vão dar crédito para os pobres. Ninguém consegue crescer sem crédito neste País. O cadastro positivo é a possibilidade de inclusão social via crédito, é a possibilidade do crédito para quem não tem crédito nos bancos. Quem vai dar crédito para um borracheiro, para uma manicure, para um pedreiro? Os grandes bancos só concedem crédito para quem não precisa de crédito.
O cadastro positivo dos ricos já existe. Os grandes bancos têm todos eles mapeados. Nós já temos o crédito positivo. O cadastro possibilitará a concorrência entre os bancos. Eu não consigo entender por que a esquerda é contra essa iniciativa de crédito aos mais pobres, é contra uma ferramenta para tirar o pobre da pobreza.
A esquerda está mais preocupada com o lucro das empresas de rating do que com os benefícios que o cadastro positivo vai dar aos pobres. A falta de crédito aos pobres condena o pobre à pobreza.
Portanto, Sr. Presidente, eu solicito que nós votemos essa matéria hoje, porque o cadastro positivo é altamente inclusivo e vai ajudar muito mais os mais pobres."
PELA ORDEM;"O SR. ALEXIS FONTEYNE (NOVO - SP. Pela ordem. Sem revisão do orador.) - Presidente, não faz o menor sentido não se permitir o comércio. O cadastro positivo possibilita justamente essa negociação. O pequeno comerciante quer saber qual é o rating do cliente que está querendo fazer a compra. Quanto ao cadastro negativo, já há um comércio, isso já existe.
Portanto, o partido vota ""não""."
PELA ORDEM;"O SR. ALEXIS FONTEYNE (NOVO - SP. Pela ordem. Sem revisão do orador.) - Sr. Presidente, novamente um requerimento de retirada de pauta. Isso é para atrasar os trabalhos. O NOVO quer trabalhar, o NOVO quer ser responsável. Nós queremos que seja liquidada essa matéria ainda nesta noite.
Portanto, o voto é ""não""."
PELA ORDEM;"O SR. ALEXIS FONTEYNE (NOVO - SP. Pela ordem. Sem revisão do orador.) - Presidente, eu acho uma desonestidade falar em expectativa de vida para a Previdência incluindo a mortalidade infantil. A expectativa de vida tem que ser considerada a partir da idade em que se possa aposentar, a partir dos 60 anos.
Portanto, refeita a matéria, o NOVO vota ""não""."
PELA ORDEM;"O SR. ALEXIS FONTEYNE (NOVO - SP. Pela ordem. Sem revisão do orador.) - Presidente, nós reconhecemos o trabalho bem feito de Nise. Estudamos, nos últimos dias, o trabalho que ela desenvolveu pelo Brasil. Mesmo em se tratando de uma ideologia diferente da do Partido Novo, nós votamos ""sim"", porque achamos importante a valorização dessas boas iniciativas."
COMO LÍDER;"O SR. ALEXIS FONTEYNE (NOVO - SP. Como Líder. Sem revisão do orador.) - Presidente, caros Deputados e Deputadas, temos assistido pela televisão, nos últimos dias, ao que vem acontecendo na Venezuela. Faço uma grande pergunta para todos nós brasileiros: quem é esse monstro, Maduro, que está destruindo um dos países mais ricos da América Latina? Quem é esse monstro que faz o seu povo passar miséria, passar fome, que impede que ajuda humanitária chegue ao seu país, que mata o seu povo? E eu me pergunto: quem apoia esse regime? Quem apoia esse regime procura um projeto de poder, um projeto de destruição de país. Quem tem um projeto de país investe em educação, saúde, segurança e geração de empregos e riqueza dentro do seu próprio país.
Eu me pergunto: se Haddad tivesse sido eleito neste País, o que estaríamos enviando para a Venezuela? Ajuda humanitária ou tanques, soldados e armas para abafar o movimento legítimo desse povo que quer se libertar desse socialismo? Eu me pergunto: se a Venezuela vier invadir o nosso País, de que lado estará a Oposição, o PT e o PSOL, do lado do Brasil ou do lado dos invasores?
A Venezuela é o socialismo que deu certo. Na Venezuela, conseguiram acabar com as desigualdades sociais: estão todos na miséria! Na Venezuela, o povo tenta fugir daquele paraíso bolivariano, tenta ir para países opressores como os Estados Unidos, o Brasil e a Colômbia! A fome é generalizada, a miséria é socializada. Eu pergunto: quem foi à posse de Maduro? Como estava o banquete lá? Como estava o rega-bofe? Muito uísque? Muito champanhe? Muita comida? O povo devia estar muito distante de tudo isso. O povo da Venezuela passa fome! Está morrendo tentando defender o seu país.
Por isso, eu digo: Venezuela livre!"
