id;Nome;Partido;Estado;Legislatura
141463;ABELARDO CAMARINHA;PSB;SP;53
73764;ABELARDO LUPION;DEM;PR;53
131711;ACÁCIO JÚNIOR;PSB;CE;53
143254;ACÉLIO CASAGRANDE;PMDB;SC;53
73886;ADÃO PRETTO;PT;RS;53
133374;ADEMIR CAMILO;PDT;MG;53
141372;AELTON FREITAS;PR;MG;53
73765;AFFONSO CAMARGO;PSDB;PR;53
136811;AFONSO HAMM;PP**;RS;53
74358;AGNALDO MUNIZ;PSC;RO;53
73457;AIRTON ROVEDA;PR;PR;53
141373;ALBANO FRANCO;PSDB;SE;53
74018;ALBÉRICO FILHO;PMDB;MA;53
73579;ALBERTO FRAGA;DEM;DF;53
74310;ALBERTO SILVA;PMDB;PI;53
139133;ALCENI GUERRA;DEM;PR;53
73428;ALDO REBELO;PCdoB;SP;53
150635;ALESSANDRO SABINO;PMDB;AP;53
73458;ALEX CANZIANI;PTB;PR;53
74829;ALEXANDRE CARDOSO;PSB;RJ;53
74830;ALEXANDRE SANTOS;PMDB;RJ;53
141374;ALEXANDRE SILVEIRA;PPS;MG;53
141454;ALFREDO KAEFER;PSDB;PR;53
74057;ALICE PORTUGAL;PCdoB;BA;53
141375;ALINE CORRÊA;PP**;SP;53
141377;ANA ARRAES;PSB;PE;53
74471;ANDRÉ DE PAULA;DEM;PE;53
159261;ANDRE MONTORO;PSDB;SP;53
141378;ANDRE VARGAS;PT;PR;53
74377;ANDRE ZACHAROW;PMDB;PR;53
141379;ANDREIA ZITO;PSDB;RJ;53
73696;ANGELA AMIN;PP**;SC;53
141380;ANGELA PORTELA;PT;RR;53
141381;ANGELO VANHONI;PT;PR;53
74212;ANÍBAL GOMES;PMDB;CE;53
73928;ANN PONTES;PMDB;PA;53
73937;ANSELMO DE JESUS;PT;RO;53
141387;ANTÔNIO ANDRADE;PMDB;MG;53
141383;ANTONIO BULHÕES;PRB;SP;53
159262;ANTONIO CARLOS;PSDB;MG;53
74373;ANTÔNIO CARLOS BIFFI;PT;MS;53
73492;ANTONIO CARLOS BISCAIA;PT;RJ;53
152611;ANTONIO CARLOS CHAMARIZ;PTB;AL;53
74058;ANTONIO CARLOS MAGALHÃES NETO;DEM;BA;53
73584;ANTONIO CARLOS MENDES THAME;PSDB;SP;53
73431;ANTONIO CARLOS PANNUNZIO;PSDB;SP;53
73817;ANTONIO CRUZ;PP**;MS;53
73987;ANTONIO FEIJÃO;PTC;AP;53
141388;ANTONIO JOSÉ MEDEIROS;PT;PI;53
74701;ANTONIO PALOCCI;PT;SP;53
141390;ANTÔNIO ROBERTO;PV;MG;53
74648;ARACELY DE PAULA;PR;MG;53
74103;ARIOSTO HOLANDA;PSB;CE;53
73433;ARLINDO CHINAGLIA;PT;SP;53
74405;ARMANDO ABÍLIO;PTB;PB;53
74472;ARMANDO MONTEIRO;PTB;PE;53
73434;ARNALDO FARIA DE SÁ;PTB;SP;53
141391;ARNALDO JARDIM;PPS;SP;53
73993;ARNALDO MADEIRA;PSDB;SP;53
141392;ARNALDO VIANNA;PDT;RJ;53
74291;ARNON BEZERRA;PTB;CE;53
74833;AROLDE DE OLIVEIRA;DEM;RJ;53
74222;ASDRUBAL BENTES;PMDB;PA;53
74378;ASSIS DO COUTO;PT;PR;53
74090;ÁTILA LINS;PMDB;AM;53
74459;ÁTILA LIRA;PSB;PI;53
73655;AUGUSTO CARVALHO;PPS;DF;53
74441;AUGUSTO FARIAS;PTB;AL;53
74024;AYRTON XEREZ;DEM;RJ;53
74312;B. SÁ;PSB;PI;53
141449;BARBOSA NETO;PDT;PR;53
141376;BEL MESQUITA;PMDB;PA;53
156634;BENE CAMACHO;PTB;MA;53
74517;BENEDITO DE LIRA;PP**;AL;53
74169;BERNARDO ARISTON;PMDB;RJ;53
74321;BETINHO ROSADO;DEM;RN;53
73478;BETO ALBUQUERQUE;PSB;RS;53
141335;BETO FARO;PT;PA;53
73437;BETO MANSUR;PP**;SP;53
141513;BILAC PINTO;PR;MG;53
3155;BISPO GÊ TENUTA;DEM;SP;53
74650;BONIFÁCIO DE ANDRADA;PSDB;MG;53
141399;BRIZOLA NETO;PDT;RJ;53
141394;BRUNO ARAÚJO;PSDB;PE;53
141393;BRUNO RODRIGUES;PSDB;PE;53
141395;CAMILO COLA;PMDB;ES;53
141396;CÂNDIDO VACCAREZZA;PT;SP;53
152606;CAPITÃO ASSUMÇÃO;PSB;ES;53
73469;CARLITO MERSS;PT;SC;53
74285;CARLOS ABICALIL;PT;MT;53
160318;CARLOS ALBERTO;DEM;MG;53
141397;CARLOS ALBERTO CANUTO;PSC;AL;53
74290;CARLOS ALBERTO LERÉIA;PSDB;GO;53
141401;CARLOS BEZERRA;PMDB;MT;53
141402;CARLOS BRANDÃO;PSDB;MA;53
74474;CARLOS EDUARDO CADOCA;PSC;PE;53
74651;CARLOS MELLES;DEM;MG;53
74262;CARLOS SAMPAIO;PSDB;SP;53
74835;CARLOS SANTANA;PT;RJ;53
73934;CARLOS SOUZA;PP**;AM;53
74148;CARLOS WILLIAN;PTC;MG;53
131873;CARLOS WILSON;PT;PE;53
141398;CARLOS ZARATTINI;PT;SP;53
141404;CASSIO TANIGUCHI;DEM;PR;53
74799;CELCITA PINHEIRO;DEM;MT;53
